layer,method,proj_dim,run_dir,seed,task,test_acc,test_acc_stderr,test_f1,test_f1_stderr,test_mae,test_mcc,test_mcc_stderr,test_mse,test_spearman,test_spearman_stderr
,cov,16,PoolingFFN_meltome_cov_dc16_seed921_21-05_21-13-23,921,meltome,,,,,51.3446999,,,2653.4477539,0.7142,0.0151
,cov,16,PoolingFFN_meltome_cov_dc16_seed969_22-05_01-37-26,969,meltome,,,,,51.0219154,,,2621.2250977,0.7102,0.0146
,cov,24,PoolingFFN_meltome_cov_dc24_seed657_21-05_16-58-31,657,meltome,,,,,50.4405327,,,2560.7575684,0.6999,0.0149
,cov,24,PoolingFFN_meltome_cov_dc24_seed921_21-05_21-33-16,921,meltome,,,,,51.2852631,,,2646.4550781,0.7145,0.0149
,cov,24,PoolingFFN_meltome_cov_dc24_seed969_22-05_01-58-33,969,meltome,,,,,51.3129234,,,2650.4960938,0.7155,0.0147
,cov,32,PoolingFFN_meltome_cov_dc32_seed657_21-05_17-22-13,657,meltome,,,,,51.1577606,,,2636.7038574,0.7168,0.0148
,cov,32,PoolingFFN_meltome_cov_dc32_seed921_21-05_21-54-16,921,meltome,,,,,50.5984497,,,2577.2446289,0.6992,0.0158
,cov,32,PoolingFFN_meltome_cov_dc32_seed969_22-05_02-18-45,969,meltome,,,,,51.0598907,,,2624.447998,0.718,0.0145
,cov,48,PoolingFFN_meltome_cov_dc48_seed657_21-05_17-42-00,657,meltome,,,,,51.1688995,,,2635.9494629,0.712,0.0146
,cov,48,PoolingFFN_meltome_cov_dc48_seed921_21-05_22-18-35,921,meltome,,,,,51.1936951,,,2638.3249512,0.7202,0.0146
,cov,48,PoolingFFN_meltome_cov_dc48_seed969_22-05_02-38-42,969,meltome,,,,,50.9565582,,,2615.043457,0.7176,0.0145
,cov,8,PoolingFFN_meltome_cov_dc8_seed657_21-05_16-14-42,657,meltome,,,,,50.9925423,,,2616.6745605,0.7153,0.0153
,cov,8,PoolingFFN_meltome_cov_dc8_seed921_21-05_20-49-37,921,meltome,,,,,50.2124939,,,2537.2050781,0.711,0.0152
,cov,8,PoolingFFN_meltome_cov_dc8_seed969_22-05_01-14-38,969,meltome,,,,,50.5081902,,,2566.7192383,0.7176,0.0148
,hybrid,16,PoolingFFN_meltome_hybrid_dc16_seed123_22-05_11-14-36,123,meltome,,,,,51.3381844,,,2651.8071289,0.7173,0.0164
,hybrid,16,PoolingFFN_meltome_hybrid_dc16_seed456_22-05_13-14-38,456,meltome,,,,,51.1381493,,,2632.0378418,0.714,0.0149
,hybrid,16,PoolingFFN_meltome_hybrid_dc16_seed657_21-05_18-28-20,657,meltome,,,,,51.4563065,,,2663.4821777,0.7214,0.015
,hybrid,16,PoolingFFN_meltome_hybrid_dc16_seed789_22-05_15-17-43,789,meltome,,,,,51.5418205,,,2672.5493164,0.7188,0.0147
,hybrid,16,PoolingFFN_meltome_hybrid_dc16_seed921_21-05_23-03-38,921,meltome,,,,,51.2907906,,,2646.5805664,0.7191,0.015
,hybrid,16,PoolingFFN_meltome_hybrid_dc16_seed969_22-05_03-23-30,969,meltome,,,,,51.1826286,,,2635.2978516,0.7208,0.0144
,hybrid,24,PoolingFFN_meltome_hybrid_dc24_seed123_22-05_11-38-43,123,meltome,,,,,51.4319992,,,2661.2802734,0.716,0.0166
,hybrid,24,PoolingFFN_meltome_hybrid_dc24_seed456_22-05_13-38-19,456,meltome,,,,,50.8614578,,,2602.7490234,0.7181,0.0147
,hybrid,24,PoolingFFN_meltome_hybrid_dc24_seed657_21-05_18-53-29,657,meltome,,,,,51.6343269,,,2682.0883789,0.7197,0.0151
,hybrid,24,PoolingFFN_meltome_hybrid_dc24_seed789_22-05_15-41-35,789,meltome,,,,,51.2979736,,,2647.404541,0.7175,0.0146
,hybrid,24,PoolingFFN_meltome_hybrid_dc24_seed921_21-05_23-26-40,921,meltome,,,,,51.5605659,,,2674.2497559,0.72,0.0147
,hybrid,24,PoolingFFN_meltome_hybrid_dc24_seed969_22-05_03-48-16,969,meltome,,,,,51.0092087,,,2617.6330566,0.7217,0.0145
,hybrid,32,PoolingFFN_meltome_hybrid_dc32_seed123_22-05_12-03-22,123,meltome,,,,,51.4503098,,,2664.0534668,0.7158,0.017
,hybrid,32,PoolingFFN_meltome_hybrid_dc32_seed456_22-05_14-03-38,456,meltome,,,,,50.7355995,,,2590.4003906,0.7087,0.0152
,hybrid,32,PoolingFFN_meltome_hybrid_dc32_seed657_21-05_19-17-41,657,meltome,,,,,50.5364304,,,2573.2336426,0.696,0.0154
,hybrid,32,PoolingFFN_meltome_hybrid_dc32_seed789_22-05_16-07-07,789,meltome,,,,,51.1701317,,,2634.5742188,0.716,0.015
,hybrid,32,PoolingFFN_meltome_hybrid_dc32_seed921_21-05_23-52-06,921,meltome,,,,,50.8432693,,,2601.0610352,0.7107,0.0147
,hybrid,32,PoolingFFN_meltome_hybrid_dc32_seed969_22-05_04-12-41,969,meltome,,,,,51.2552605,,,2643.2255859,0.7112,0.0146
,hybrid,48,PoolingFFN_meltome_hybrid_dc48_seed123_22-05_12-27-40,123,meltome,,,,,51.4031487,,,2660.0895996,0.7182,0.0166
,hybrid,48,PoolingFFN_meltome_hybrid_dc48_seed456_22-05_14-29-23,456,meltome,,,,,51.8217773,,,2703.0820312,0.7178,0.0145
,hybrid,48,PoolingFFN_meltome_hybrid_dc48_seed657_21-05_19-48-12,657,meltome,,,,,50.8070908,,,2598.5412598,0.6946,0.015
,hybrid,48,PoolingFFN_meltome_hybrid_dc48_seed789_22-05_16-33-11,789,meltome,,,,,51.0447922,,,2621.9765625,0.7108,0.015
,hybrid,48,PoolingFFN_meltome_hybrid_dc48_seed921_22-05_00-19-12,921,meltome,,,,,50.9039345,,,2607.4228516,0.7103,0.0148
,hybrid,48,PoolingFFN_meltome_hybrid_dc48_seed969_22-05_04-38-35,969,meltome,,,,,51.4493217,,,2663.1474609,0.7156,0.0148
,hybrid,8,PoolingFFN_meltome_hybrid_dc8_seed123_22-05_10-49-47,123,meltome,,,,,51.0897598,,,2626.0056152,0.7199,0.0166
,hybrid,8,PoolingFFN_meltome_hybrid_dc8_seed456_22-05_12-50-22,456,meltome,,,,,51.2049103,,,2637.9897461,0.7151,0.015
,hybrid,8,PoolingFFN_meltome_hybrid_dc8_seed657_21-05_18-03-35,657,meltome,,,,,51.2791748,,,2645.2460938,0.7203,0.0151
,hybrid,8,PoolingFFN_meltome_hybrid_dc8_seed789_22-05_14-53-25,789,meltome,,,,,50.9191284,,,2608.621582,0.7171,0.0147
,hybrid,8,PoolingFFN_meltome_hybrid_dc8_seed921_21-05_22-39-08,921,meltome,,,,,51.1475563,,,2631.8500977,0.7222,0.0147
